seed,truth,estimate,error,ci_low,ci_high,covered,design,leakage_pct
3003,0.09327848961196317,0.11875007311204852,0.025471583500085354,0.11060134334679916,0.12660952030258474,False,V1 compset control,50
3003,0.09327848961196317,0.058869584741216514,-0.03440890487074665,-0.10059902600732731,0.12785432653640516,True,V3 EG-overall LY,50
3003,0.09327848961196317,0.10486850776026724,0.011590018148304071,0.0858371277310985,0.12345605623396089,True,V4 clean control,50
3003,0.09327848961196317,0.11875007311204852,0.025471583500085354,0.11060134334679916,0.12660952030258474,False,V1 compset control,100
3003,0.09327848961196317,0.058869584741216514,-0.03440890487074665,-0.10059902600732731,0.12785432653640516,True,V3 EG-overall LY,100
3003,0.09327848961196317,0.12163034660809446,0.028351856996131297,0.1023102436016118,0.14049988473929348,False,V4 clean control,100
3004,0.092437467295714,0.11239744609724762,0.01995997880153362,0.10249159472531137,0.1245506814292093,False,V1 compset control,0
3004,0.092437467295714,0.07566584641569349,-0.016771620880020516,-0.00742307679554203,0.1619076553700463,True,V3 EG-overall LY,0
3004,0.092437467295714,0.0801719370374404,-0.012265530258273608,0.072016035075738,0.08772094393072051,False,V4 clean control,0
3004,0.092437467295714,0.11239744609724762,0.01995997880153362,0.10249159472531137,0.1245506814292093,False,V1 compset control,10
3004,0.092437467295714,0.07566584641569349,-0.016771620880020516,-0.00742307679554203,0.1619076553700463,True,V3 EG-overall LY,10
3004,0.092437467295714,0.0835045307940123,-0.00893293650170171,0.07532346588646338,0.09107682821390048,False,V4 clean control,10
3004,0.092437467295714,0.11239744609724762,0.01995997880153362,0.10249159472531137,0.1245506814292093,False,V1 compset control,25
3004,0.092437467295714,0.07566584641569349,-0.016771620880020516,-0.00742307679554203,0.1619076553700463,True,V3 EG-overall LY,25
3004,0.092437467295714,0.08853375158718448,-0.0039037157085295288,0.08031471325121493,0.09614119676562263,True,V4 clean control,25
3004,0.092437467295714,0.11239744609724762,0.01995997880153362,0.10249159472531137,0.1245506814292093,False,V1 compset control,50
3004,0.092437467295714,0.07566584641569349,-0.016771620880020516,-0.00742307679554203,0.1619076553700463,True,V3 EG-overall LY,50
3004,0.092437467295714,0.09699757659866441,0.0045601093029504075,0.08871463165241579,0.10466417298365085,True,V4 clean control,50
3004,0.092437467295714,0.11239744609724762,0.01995997880153362,0.10249159472531137,0.1245506814292093,False,V1 compset control,100
3004,0.092437467295714,0.07566584641569349,-0.016771620880020516,-0.00742307679554203,0.1619076553700463,True,V3 EG-overall LY,100
3004,0.092437467295714,0.11423821757325299,0.021800750277538986,0.10582509614979363,0.12202530377388722,False,V4 clean control,100
3005,0.09224215754573017,0.10686272206764293,0.014620564521912752,0.09106690901322338,0.12104678273069727,True,V1 compset control,0
3005,0.09224215754573017,0.17089740103419293,0.07865524348846276,0.07661630183965323,0.27115234031963825,True,V3 EG-overall LY,0
3005,0.09224215754573017,0.09749045679942468,0.005248299253694508,0.0863860047293085,0.1069373612500444,True,V4 clean control,0
3005,0.09224215754573017,0.10686272206764293,0.014620564521912752,0.09106690901322338,0.12104678273069727,True,V1 compset control,10
3005,0.09224215754573017,0.17089740103419293,0.07865524348846276,0.07661630183965323,0.27115234031963825,True,V3 EG-overall LY,10
3005,0.09224215754573017,0.10072422117812978,0.008482063632399603,0.08958704975147899,0.11019896100801148,True,V4 clean control,10
3005,0.09224215754573017,0.10686272206764293,0.014620564521912752,0.09106690901322338,0.12104678273069727,True,V1 compset control,25
3005,0.09224215754573017,0.17089740103419293,0.07865524348846276,0.07661630183965323,0.27115234031963825,True,V3 EG-overall LY,25
3005,0.09224215754573017,0.10560345344292266,0.013361295897192482,0.09441691375025421,0.11512019239973278,False,V4 clean control,25
3005,0.09224215754573017,0.10686272206764293,0.014620564521912752,0.09106690901322338,0.12104678273069727,True,V1 compset control,50
3005,0.09224215754573017,0.17089740103419293,0.07865524348846276,0.07661630183965323,0.27115234031963825,True,V3 EG-overall LY,50
3005,0.09224215754573017,0.11381257587952591,0.021570418333795735,0.10254297595970878,0.1233999767676555,False,V4 clean control,50
3005,0.09224215754573017,0.10686272206764293,0.014620564521912752,0.09106690901322338,0.12104678273069727,True,V1 compset control,100
3005,0.09224215754573017,0.17089740103419293,0.07865524348846276,0.07661630183965323,0.27115234031963825,True,V3 EG-overall LY,100
3005,0.09224215754573017,0.13052562195182524,0.038283464406095064,0.11908691876745983,0.1402568842725038,False,V4 clean control,100
