seed,truth,estimate,error,ci_low,ci_high,covered,declared_significant,backtest_mape,specification,arm
5009,0.0934107868537215,0.1092666426974971,0.0158558558437756,-0.0061873941916986,0.2547218532612544,True,False,0.0827499346368316,B: own prior-year,effect
5009,0.0934107868537215,0.1128826187505503,0.0194718318968288,0.0019284666201386,0.2512617260442983,True,True,0.080341214800191,C: market-wide prior-year,effect
5009,0.0934107868537215,0.0814426391193994,-0.011968147734322,0.0664328533948137,0.0955542044134024,True,True,0.0126449318714412,D: clean-pool control,effect
5009,0.0934107868537215,0.0507923096664171,-0.0426184771873043,0.0262568022549602,0.0734301720484472,False,True,0.0183772658054102,D: no prior-campaign control,effect
5010,0.0929857094278885,0.1226657802221361,0.0296800707942476,0.1138560999210516,0.1307418040478875,False,True,0.0084198691472913,A: competitor-set control,effect
5010,0.0929857094278885,0.0292839277296076,-0.0637017816982808,-0.045318194123437,0.0885894416794435,False,False,0.0600940583865301,B: own prior-year,effect
5010,0.0929857094278885,0.0262340075981547,-0.0667517018297337,-0.045854636053478,0.0849918125397626,False,False,0.0597605257964425,C: market-wide prior-year,effect
5010,0.0929857094278885,0.0495842674892929,-0.0434014419385955,0.0399328366461203,0.0583225390484533,False,True,0.0111493056283653,D: clean-pool control,effect
5010,0.0929857094278885,0.0084287488990565,-0.0845569605288319,-0.0074803124322379,0.0294033561252844,False,False,0.0153455322485163,D: no prior-campaign control,effect
5011,0.0928501741868714,0.1057118147287364,0.0128616405418649,0.0973729448147941,0.1197784238106046,False,True,0.0112201726720904,A: competitor-set control,effect
5011,0.0928501741868714,0.1121984350682031,0.0193482608813317,0.0738170298067689,0.186172776203893,True,True,0.051233762421896,B: own prior-year,effect
5011,0.0928501741868714,0.1153323237167227,0.0224821495298513,0.0768041576459552,0.1891653861260105,True,True,0.0511533347265077,C: market-wide prior-year,effect
5011,0.0928501741868714,0.0781486643274479,-0.0147015098594235,0.0627415696236873,0.0924719529325492,False,True,0.0166834771897202,D: clean-pool control,effect
5011,0.0928501741868714,0.057748588551045,-0.0351015856358264,0.0181905822763638,0.0918441000947463,False,True,0.022627233969562,D: no prior-campaign control,effect
5012,0.0920377317849232,0.121744787291359,0.0297070555064358,0.1177903257524448,0.1263768478195523,False,True,0.0090900553817545,A: competitor-set control,effect
5012,0.0920377317849232,0.1688556941023655,0.0768179623174422,0.1017059789610965,0.3207431485143243,False,True,0.050947258735038,B: own prior-year,effect
5012,0.0920377317849232,0.1525733397750017,0.0605356079900784,0.0874886112010993,0.3019419606432339,True,True,0.0517709076027541,C: market-wide prior-year,effect
5012,0.0920377317849232,0.1037248118295347,0.0116870800446114,0.0941661172968596,0.1283752693207376,False,True,0.0152810625422295,D: clean-pool control,effect
5012,0.0920377317849232,0.0846882962134107,-0.0073494355715124,0.0517796336425001,0.1314291166967303,True,True,0.0227235114339526,D: no prior-campaign control,effect
5013,0.0928726004710482,0.1332887558474007,0.0404161553763524,0.1247650995491773,0.1424041024302869,False,True,0.0104301551168001,A: competitor-set control,effect
5013,0.0928726004710482,0.279004255684631,0.1861316552135827,0.2161555069010712,0.3293203337636559,False,True,0.0448365629668772,B: own prior-year,effect
5013,0.0928726004710482,0.2780772484342233,0.185204647963175,0.2147255538309921,0.3288482061550427,False,True,0.0447460751041251,C: market-wide prior-year,effect
5013,0.0928726004710482,0.122385556235905,0.0295129557648567,0.1103762263071221,0.1382828151992801,False,True,0.0126858689672157,D: clean-pool control,effect
5013,0.0928726004710482,0.0594821296749291,-0.0333904707961191,0.0306950103566818,0.0930393539660567,True,True,0.0212844831131809,D: no prior-campaign control,effect
5014,0.0928430734602645,0.1160677459348431,0.0232246724745785,0.1002232768892197,0.1262937126925016,False,True,0.0117922074850462,A: competitor-set control,effect
5014,0.0928430734602645,0.0657422794578734,-0.027100794002391,-0.019726450530033,0.1754318491848948,True,False,0.0645838106513899,B: own prior-year,effect
5014,0.0928430734602645,0.0679418036178953,-0.0249012698423691,-0.0179146166720095,0.1780604088624626,True,False,0.0647883030744197,C: market-wide prior-year,effect
5014,0.0928430734602645,0.0808999455885922,-0.0119431278716722,0.0713436672577646,0.0893315875080957,False,True,0.0089767612370136,D: clean-pool control,effect
5014,0.0928430734602645,0.0606226912401025,-0.032220382220162,0.0273073514709971,0.0833287318834251,False,True,0.0198969506719035,D: no prior-campaign control,effect
5015,0.0930822127353789,0.1282939647587387,0.0352117520233598,0.118666078166802,0.1428757965406197,False,True,0.0112500993453533,A: competitor-set control,effect
5015,0.0930822127353789,0.115781089316634,0.022698876581255,0.020955535026071,0.1737630140525602,True,True,0.0472517945049437,B: own prior-year,effect
5015,0.0930822127353789,0.108610787119988,0.015528574384609,0.0141222248412313,0.1654262913693253,True,True,0.0474060677347632,C: market-wide prior-year,effect
5015,0.0930822127353789,0.0871536780532086,-0.0059285346821702,0.0777109558126925,0.1009661792609141,True,True,0.0134963952140174,D: clean-pool control,effect
5015,0.0930822127353789,0.0417311831180882,-0.0513510296172907,0.0269350877341421,0.0649361692036932,False,True,0.0160803691092935,D: no prior-campaign control,effect
5016,0.0931354450394836,0.1177318796486994,0.0245964346092158,0.1072290187027859,0.1282927559263376,False,True,0.0093725962062085,A: competitor-set control,effect
5016,0.0931354450394836,0.0390317653956261,-0.0541036796438575,-0.0269717707100934,0.1311401423193749,True,False,0.0599839580448633,B: own prior-year,effect
5016,0.0931354450394836,0.0308057289912382,-0.0623297160482454,-0.0344308965534209,0.1216899478573771,True,False,0.0600117609109855,C: market-wide prior-year,effect
5016,0.0931354450394836,0.0989394248195227,0.005803979780039,0.0893709106069212,0.1109504113663548,True,True,0.0125374604065679,D: clean-pool control,effect
5016,0.0931354450394836,0.062934088517713,-0.0302013565217706,0.027020640561449,0.0996192782036262,True,True,0.0210425965367796,D: no prior-campaign control,effect
5017,0.0924680298029325,0.1244615546867338,0.0319935248838013,0.1167459282593875,0.1300142827137531,False,True,0.0081552375020353,A: competitor-set control,effect
5017,0.0924680298029325,0.1189907148182477,0.0265226850153151,0.0336847623625136,0.2136767313108467,True,True,0.0662169694659238,B: own prior-year,effect
5017,0.0924680298029325,0.1155607522488829,0.0230927224459503,0.0314494543431331,0.2090496897334487,True,True,0.0654281592867523,C: market-wide prior-year,effect
5017,0.0924680298029325,0.0757581643870934,-0.0167098654158391,0.0687506224276894,0.0848882453648103,False,True,0.010568608619053,D: clean-pool control,effect
5017,0.0924680298029325,0.030312796762019,-0.0621552330409135,0.0176127300671197,0.0497991219075898,False,True,0.0145005471265747,D: no prior-campaign control,effect
9000,0.0,0.0034937004054520515,0.0034937004054520515,-0.0007948967931954403,0.009527010924314898,True,False,0.009186725942267824,D: clean-pool control,zero_effect
9001,0.0,-0.012472124037667898,-0.012472124037667898,-0.02268979837179496,6.267257760021736e-05,True,False,0.013365083631901873,D: clean-pool control,zero_effect
9002,0.0,-0.013329511114066828,-0.013329511114066828,-0.018418419405098797,-0.007911149267797702,False,True,0.01214406313208037,D: clean-pool control,zero_effect
9003,0.0,-0.005681559172773544,-0.005681559172773544,-0.015874157191196198,0.00687164032479003,True,False,0.015104308638871019,D: clean-pool control,zero_effect
9004,0.0,0.0013857661333567034,0.0013857661333567034,-0.01063929159560125,0.0144951697474363,True,False,0.015896321542572495,D: clean-pool control,zero_effect
9005,0.0,-0.005081319970160125,-0.005081319970160125,-0.014425439895788261,0.010898579681193267,True,False,0.0146325437128645,D: clean-pool control,zero_effect
9006,0.0,-0.009146629206936535,-0.009146629206936535,-0.016078355547767383,-0.00012496674798265336,False,True,0.010441969987043274,D: clean-pool control,zero_effect
9007,0.0,0.008609780033622519,0.008609780033622519,-0.0029559344885113008,0.01913600324114455,True,False,0.015176045334600673,D: clean-pool control,zero_effect
9008,0.0,-0.011045343974255339,-0.011045343974255339,-0.018534182470282566,-0.004161752858027323,False,True,0.014525451635898506,D: clean-pool control,zero_effect
9009,0.0,0.01731006737268462,0.01731006737268462,0.008576025869265758,0.024695905819119134,False,True,0.013420226819638,D: clean-pool control,zero_effect
9010,0.0,-0.016904498525557664,-0.016904498525557664,-0.02487072586581338,-0.008616090885396669,False,True,0.013268583201319843,D: clean-pool control,zero_effect
9011,0.0,-0.008379872909223141,-0.008379872909223141,-0.019454761218227482,0.006065344444507815,True,False,0.016674691650103397,D: clean-pool control,zero_effect
